좋은 친구부터,실은 나 음악 방송을 정말 좋아해~ 집에서 심심하지도 않고 최신 곡도 알 수 있잖아! 너한테도 적극 추천해!,,
,> 내가 아이돌이 되면 음악 방송 데뷔 곡으로 사랑 노래를 부를 거야! 사랑에 빠진 모든 사람들을 내 목소리로 응원해주고 싶거든~ 만약에 xx도 좋아하는 사람이 있다면 말해! 내가 열심히 응원해줄게~!,,
,> 난 나중에 음악 방송에 나가면 꼭 로큰롤을 불러야겠다고 오래전부터 생각해왔어~! 깜찍한 목소리로 터프한 노래를 부르면 반전 매력도 느껴지고 좋겠지?! 아~! 얼른 나한테 출연 섭외가 들어왔음 좋겠다~!,,
,"> 내가 만약에 음악 방송에 나간다면 발라드를 불러보고 싶어~! 기타를 들고 연주하면서 멋지게 노래하는 거야! 아, 기타 연습은 이제부터 해야지!",,
,> 내가 만약에 음악 방송에 나간다면 꼭 랩에 도전해보고 싶어~! 래퍼들은 다들 옷도 잘 입고 멋있잖아?! 일단은 나한테 어울릴 만한 모자 달린 헐렁한 옷을 사야겠다!,,
,,,
,내가 요즘 옷을 입을 때 뭘 제일 신경 쓰는지 너한테만 특별히 알려줄게!,,
,> 뭐니 뭐니 해도 난 역시 '개성'이 제일 중요하다고 생각해~ 나만의 특징을 어필해야지! 저번에 xx랑 옷을 사러 갔거든? 근데 내가 고른 옷을 보고 씁쓸하게 웃는 거 있지~ 그래도 내 센스를 믿고 샀어! 전신 반짝이 원피스가 진짜 멋졌거든~!,,
,> 바로바로 '유행'이야~ 개성도 중요하지만 시대의 흐름도 파악할 줄 알아야지! 근데 유행은 대체 누가 만드는 걸까~? 다음 시즌엔 내가 만든 디자인이 유행할지도 모르니까 꼭 확인해 봐~!,,
,> 그건 바로! 유행이나 개성이라는 틀에 너무 얽매이지 않는 거야! 패션의 세계는 심오하니까 그런 데 너무 신경 쓰면 감각이 무뎌진다구~ 남의 시선보다는 내가 좋아하는 옷을 마음껏 입는 게 더 중요하다고 생각해!,,
,,,
,"크레이프는 말이야, 부드럽고 엄청 맛있잖아? 그니깐 그 안에 뭘 넣든 틀림없이 꿀맛일 거란 말이지~! 예를 들면 xx어때?! 대박 히트 메뉴가 될 거야~!",,
,> 예를 들면 고춧가루 어때?! 의외로 찰떡궁합일 것 같지 않아?!,,
,> 예를 들면 후춧가루 어때?! 의외로 찰떡궁합일 것 같지 않아?,,
,> 예를 들면 계피 어때?! 의외로 찰떡궁합일 것 같지 않아?!,,
,"> xx말야, 달콤하고 엄청 맛있잖아? 내 생각에 매콤한 재료를 포인트로 곁들이면 의외로 어울릴 것 같단 말이지~",,
,,,
,케이크는 그 자체만으로도 달콤하고 폭신하고 맛있지만 말야 부드러운 식감에 딱딱한 식감이 더해지면 재밌을 것 같단 말이지~,,
,> 예를 들면 딸기 대신 말린 오징어를 넣는 거야! 다음에 한번 시도해봐야지~!,,
,> 예를 들면 딸기 대신 강정을 넣는 거야! 다음에 한번 시도해봐야지~!,,
,> 예를 들면 딸기 대신 김부각을 넣는 거야! 다음에 한번 시도해봐야지~!,,
,,,
,나 비치발리볼 진짜 좋아하는데~! xx도 같이 해변에서 신나게 놀자!,,
,선택지,좋은 생각이야!,> 역시 xx야! 잘 받아준다니까! 나는 경기할 때 아끼는 수영복을 입으려구 해! 바닷바람을 맞으면서 신나게 놀면 사소한 고민 같은 건 싹 날아갈 것 같아!
,,재밌겠다!,> 그치~?! 내 주특기는 회전 서브야! 운동 신경이 특별히 뛰어난 편은 아니지만 좋아하는 일을 할 땐 온 힘을 다해 노력하는 게 멋진 소녀 아니겠어?
,,됐어,> 뭐어~?! 그럼 xx는 응원단장으로 결정! 경기하는 날 '파이팅!'이라고 쓴 거대 현수막을 만들어와야 돼! 내가 꼭 서브를 성공시켜서 비치발리볼의 매력을 알게 해줄게!
,,,
,내가 부모님이랑 살 때는 곤충을 키웠어~,,
,> 공벌레인데 이름은 xx었였지~ 건드리면 동그래져서 너무 귀여웠어! 더 귀엽게 자라라고 이름도 깜찍하게 지어줬었지~!,,
,> 내가 말 안 했던가? 장수풍뎅이인데 이름은 xx었였어! 다른 곤충이랑 싸우고 있을 때 잡았었는데~ 다시는 싸우지 말고 모두에게 사랑받으라고 이런 이름을 지어줬어~!,,
,> 음 사슴벌레인데 이름은 xx었였어~ 잡을 때 집게에 손가락을 살짝 물렸는데 진~짜 아팠다구! 짓궂은 장난꾸러기라서 좀 얌전해지라는 뜻에서 이름을 이렇게 지었지~!,,
,,,
,"나, 요즘 xx에 빠져 있어~",,
