좋은 친구부터,내 고향은 말이야 엄청난 시골이야 그러고 보니! 이런 시골은 지긋지긋해! 배우가 될래! 라면서 마을을 떠난 친구가 있었지 요즘 조금 뜬 것 같던데 맨날 시골 처녀 역만 맡더라고 그 녀석 이대로 괜찮으려나?
,내 고향은 사람들도 다 착하고 좋은 곳이야! 근데 마냥 넓기만 해서 집 근처를 아무리 돌아다녀도 다른 사람을 만나는 일이 드물어! 그런데 이 xx는 금방 누군가랑 마주치니까 좋아!
,내 고향은 엄청 시골이라서 주변에 진짜 아무것도 없었어 그래도 꽤 즐거웠다고! 친구랑 학교 빼먹고 놀러 가기도 하고 공터에서 불꽃놀이도 하고 그랬거든! 이웃집 할머니한테 툭하면 야단맞았던 것도 좋은 추억이야! 참 무서운 할머니였지
,
,얼마 전에 물 주는 걸 깜박해서 소중한 꽃이 시들어 버렸어 친구가 생일 선물로 준 꽃이었는데! 너무 충격이었어 왜 좀 더 제대로 돌봐주지 못했을까 하고 자책했지 근데 시든 꽃을 자세히 봤더니 놀랍게도! 씨앗이 남아 있더라고! 그러니까 이번에는 정말 잘 키울 거야! xx의 이름을 걸고!
,얼마 전에 아끼던 꽃이 시들어 버렸어 그 전날까지만 해도 예쁘게 피어 있었는데 그래도 이것저것 알아보고 물도 주고 시든 꽃도 떼주면서 돌봤더니 새로운 꽃이 활짝 피었더라고! 만약 네 꽃이 시들면 곧장 포기하지 말고 할 수 있는 일은 전부 시도해봐!
,얼마 전에 며칠 게으름을 피웠더니 소중하게 키운 꽃이 거의 시들었지 뭐냐 그걸 보니까 머릿속이 새하얘지더라고 그래도 포기하지 않고 계속 가꿨더니 점점 기운을 차리더라! 이야~ 정말이지 그때는 꽃의 놀라운 생명력을 경험했지 뭐냐! 포기하지 않길 정말 잘했어!
,
,"나 말이야, 너무 자주 밤을 새우는 것 같아"
,"> 빨리 자야지~ 하다가도 자기 전에 조금만 볼 생각으로 만화책을 읽기 시작한단 말이지 그러면 뒤가 궁금해져서 계속 다음 권을 보게 되잖아? 이렇게 된 이상 마지막까지 읽어 주마! 이런 생각까지 들고 말이야, 알지? 그리고 그렇게 날이 밝는 거지"
,> 오늘은 빨리 자야지! 하고 마음먹으면 꼭 친구한테서 전화가 걸려온단 말이지 그래서 어떻게 했냐니 당연히 친구 고민이 우선이지! 농담 따먹기일 때도 있지만 뭐~ 나 정도 되면 일찍 일어나는 건 일도 아니라고! 중요한 건 정신력이야!
,> 밤중에 헤드폰을 쓰고 좋아하는 밴드의 음악을 듣다 보면 점점 심취하게 되는 것 같아 콘서트장도 아닌데 정신을 차려보면! 히얏호~~~~~! 하면서 소리를 지를 때도 있더라고! 그 뒤로도 흥분이 가라앉질 않아서 좀처럼 잠이 오지 않는 거야! 말하고 났더니 이웃집 녀석한테 미안해지네!
,
,얼마 전에 부모님이 고향에서 난 과일들을 보내주셨거든 어릴 때 많이 먹어서 물렸을 줄 알았는데 상자를 여는 순간 풍겨 오는 그리운 냄새에 나도 모르게 눈시울을 붉혔지 뭐냐
,> 이번에는 내가 xx를 보내드리려구! 너도 소중한 사람이 있으면 한번 보내봐!
,> 하지만 눈물 같은 건 금방 쏙 들어가 버렸어 옛날에 말썽 피웠던 게 생각났거든 으악~! 기억에서 지우고 싶다!
,> 돌아갈 곳이 있다는 사실이 마음을 든든하게 지탱해주고 있나 봐 안심하고 살 수 있는 것도 그 덕분이겠지?
,
,내가 이래 봬도 애들 돌봐주는 걸 좋아하거든! 그래서 이웃집 아이들을 돌봐주곤 했었어
,> 그 조그마한 것이 매일 열심히 사는 걸 보고 있으면 나도 열심히 살아야겠다 싶더라고 내가 이런 생각을 하게끔 만들다니 정말 대단하지 않냐?
,> 엄청 휘둘리기는 해도 역시 기뻐하는 얼굴을 보면 귀여워서 어쩔 줄을 모르겠다니까! 아~ 그래도 한 시간 내내 목마를 태워주는 건 너무 힘든 것 같아
,> 어린애들은 금방 크잖냐? 말도 잘하게 되니까 옆에서 보고 있으면 진짜 재밌거든! 하지만 쑥스러운 건지 응석을 부리지 않게 되면 좀 쓸쓸해지더라
,
,남한테 줄 선물을 고르는 건 참 어려운 일인 것 같아
,> 나는 어떤 선물을 받아도 그 사람이 날 생각해서 준 거니까 그것만으로도 기쁘지만 헉! 그렇구나! 중요한 건 바로 그거였어!
,> 받는 사람이 좋아할 만한 걸 주고 싶은데 이미 똑같은 걸 갖고 있을지도 모르고 본인한테 물어보고 정하면 되긴 하지만 깜짝 놀래켜주고 싶은 마음도 있단 말이지~ 진짜 고민된다구!
,> 대체 어떤 선물을 해야 내 뜨거운 우정이 전해지려나? 뜨거운 그거야! 엄청 매운 xx를 선물해서 이 뜨거운 마음을 전하면 어떨까?
,
,"난 꽃을 돌보는 걸 좋아하거든 씨앗부터 뿌려서 키운 녀석이 꽃을 피웠을 땐 기뻐서 춤까지 출 뻔했다니까 근데 다들 이게 의외인가 봐 예쁜 꽃보단 식충 식물 같은 게 어울린다고 고향 친구가 그러더라 휴, 사람들도 그렇게 생각하려나? 앗! 그래, 내가 꽃을 사랑하는 사람이라고 네가 소문 좀 내줘라!"
,
,"야야, 내 얘기 좀 들어봐! 저번에 고향 집에 갔다가 들었는데 고향 친구들 사이에 이상한 소문이 퍼졌더라고 내가 이 에 이주한 게 무인도에 사는 거대 생물하고 대결하기 위해서라고 누가 헛소문을 퍼트렸나 봐 어이가 없어서 웃음이 다 나더라! 고향 녀석들은 내가 무슨 슈퍼 히어로인 줄 아는 것 같아"
베스트 프렌드 타입 A,옛날에는 나도 말썽을 많이 부렸지! 예를 들면
,> 중고품 가게에서 아르바이트하던 시절에 실수로 판매용 꽃병을 깨뜨리는 바람에 어떻게든 넘겨보려고 찰흙으로 대충 꽃병처럼 만들어서 꽃병이 있던 자리에 놓아뒀었거든 그랬더니 돈이 많아 보이는 손님이 와서는 그 꽃병이 예술적이라며 고가에 사가지 뭐냐! 그때 진짜 웃음 참느라 힘들었어! 결국 금방 점장님한테 들켜서 엄청나게 혼났지만 말이야
,"> 엄청 예전에, 뮤지션을 동경해서 길거리 라이브를 하던 친구가 있었는데 아무도 자기 노래를 들어주지 않더래 그래서 놀림 반, 응원 반으로 가봤더니 그 녀석 엄청난 음치더라고 결국 마이크를 뺏어서 내가 노래를 했는데 그만 노래에 열중해 버려서 힘껏 소리를 질렀다가 엄청나게 혼이 났었어"
,> 살면서 한 번 정도는 단것만 죽도록 먹어보고 싶다는 생각에 단것을 왕창 사들인 적도 있었어! 근데 반 정도 먹고 나니까 속이 너무 안 좋아지더라구 그때 진짜 죽는 줄 알았는데 사람이 살면서 단맛만 보려고 하면 쓴맛도 보게 되는 건가봐! 농담이야!
,
,집안일 하다가 말이야 가끔 황당한 실수를 할 때 있지 않냐? 예를 들면
,> 난 저번에 날씨가 좋길래 세탁기를 돌렸는데 말이야 실수로 세제를 너무 많이 넣은 데다가 세탁기 뚜껑을 닫는 것도 잊는 바람에 결국 거품이 왕창 흘러넘쳤지 뭐냐 거품 천지가 된 집 안을 보니 웃음밖에 안 나오더라고 하루 종일 그것만 치웠다니까?
,> 난 얼마 전에 열심히 요리를 했는데 막상 먹어보니 엄청나게 달더라구 알고 보니 설탕이랑 소금을 헷갈렸더라 나답지 않게 초보적인 실수라 웃어 버렸지 이왕 실수할 거 고형 카레랑 초콜릿을 헷갈리는 수준의 실수라도 했으면 새로운 요리가 탄생했을 텐데!
,"> 난 요전에 큰맘 먹고 물걸레 청소를 하려다가 발로 양동이를 걷어차는 바람에 뒤집힌 양동이에 이마를 부딪히질 않나, 온 집 안이 물바다가 되질 않나, 정말 난리도 아니었다구!"
,
,난 어릴 적부터 이상한 걸 충동적으로 사는 버릇이 있거든
,> 예를 들면 고향에서 축제를 할 때 팔던 짚신벌레 피규어 같은 거 '그딴 걸 누가 사?' 라고 생각했는데 축제 분위기에 취해서 나도 모르게 사 버렸지 뭐냐 아~ 지금 생각해도 그건 돈 낭비였어 심지어 쓸데없이 튼튼하기까지 해! 정말 쓸데없다니까!
,"> 예를 들면 여행지 기념품점에서 산 자신의 이름을 새겨 넣은 랜턴 같은 거 가게에서 봤을 땐 엄청 멋있어 보였는데 막상 방에 두니 안 어울리더라구 결국 처박아 놓고 안 쓰게 됐지 아, 그래도 정전일 땐 엄청 유용하더라!"
